Sample,Coverage,Group
T1900044830_TS20190296,0.423718624,SGB_6458
T1900044831_TS20190297,4.851468577,SGB_6458
T1900044832_TS20190298,2.818770222,SGB_6458
T1900044833_TS20190299,5.610112128,SGB_6458
T1900044834_TS20190300,0.707430427,SGB_6458
T1900044835_TS20190301,0.192104898,SGB_6458
T1900044836_TS20190302,0.559860324,SGB_6458
T1900044837_TS20190303,0.610163039,SGB_6458
T1900044838_TS20190304,0.178710431,SGB_6458
T1900044839_TS20190305,0.161604701,SGB_6458
T1900044840_TS20190306,0.380985929,SGB_6458
T1900044841_TS20190307,0.785826295,SGB_6458
T1900044842_TS20190308,0.345168899,SGB_6458
T1900044843_TS20190309,0.128306269,SGB_6458
T1900044844_TS20190310,0.537174221,SGB_6458
T1900044845_TS20190311,0.765073688,SGB_6458
T1900044846_TS20190312,2.529868489,SGB_6458
T1900044847_TS20190313,0.153159834,SGB_6458
T1900044848_TS20190314,4.470926996,SGB_6458
T1900044849_TS20190315,0.078989581,SGB_6458
T1900044850_TS20190316,1.359479764,SGB_6458
T1900044851_TS20190317,7.658845959,SGB_6458
T1900044852_TS20190318,0.842656103,SGB_6458
T1900044853_TS20190319,0.529351517,SGB_6458
T1900044854_TS20190320,0.163662105,SGB_6458
T1900044855_TS20190321,0.98261613,SGB_6458
T1900044856_TS20190322,0.213783636,SGB_6458
T1900044857_TS20190323,0.216850651,SGB_6458
T1900044858_TS20190324,0.814198711,SGB_6458
T1900044859_TS20190325,2.569771877,SGB_6458
T1900044860_TS20190326,0.140767117,SGB_6458
T1900044861_TS20190327,0.368939108,SGB_6458
T1900044862_TS20190328,0.519866718,SGB_6458
T1900044863_TS20190329,0.516252035,SGB_6458
T1900044864_TS20190330,0.32183368,SGB_6458
T1900044865_TS20190331,0.881234682,SGB_6458
T1900044866_TS20190332,0.731737822,SGB_6458
T1900044867_TS20190333,0.743659986,SGB_6458
T1900044868_TS20190334,0.024394617,SGB_6458
T1900044869_TS20190335,0.093871323,SGB_6458
T1900044870_TS20190336,0.009993909,SGB_6458
T1900044872_TS20190338,0.021642801,SGB_6458
T1900044873_TS20190339,0.07564817,SGB_6458
T1900044874_TS20190340,0.021535364,SGB_6458
T1900044876_TS20190342,0.375357266,SGB_6458
T1900044877_TS20190343,0.150324539,SGB_6458
T1900044879_TS20190345,0.022644925,SGB_6458
T1900044880_TS20190346,0.094071972,SGB_6458
T1900044883_TS20190349,0.042825158,SGB_6458
T1900044885_TS20190351,0.032976869,SGB_6458
T1900044888_TS20190354,0.061241099,SGB_6458
T1900044889_TS20190355,0.030884276,SGB_6458
T1900044890_TS20190356,0.008307107,SGB_6458
T1900044892_TS20190358,0.067808995,SGB_6458
T1900044894_TS20190360,0.034646451,SGB_6458
T1900044897_TS20190363,3.972788431,SGB_6458
T1900044899_TS20190365,0.055679818,SGB_6458
T1900044904_TS20190370,0.029253626,SGB_6458
T1900044908_TS20190374,0.154675934,SGB_6458
T1900044910_TS20190376,0.032097531,SGB_6458
T1900044912_TS20190378,0.009616943,SGB_6458
T1900044913_TS20190379,0.030620362,SGB_6458
T1900044914_TS20190380,0.164762307,SGB_6458
T1900044915_TS20190381,0.512344614,SGB_6458
T1900044916_TS20190382,0.071938404,SGB_6458
T1900044917_TS20190383,0.058229487,SGB_6458
T1900044918_TS20190384,0.119190949,SGB_6458
T1900044919_TS20190385,0.023460625,SGB_6458
T1900044920_TS20190386,0.067472084,SGB_6458
T1900044921_TS20190387,0.002064143,SGB_6458
T1900044923_TS20190389,0.033463893,SGB_6458
T1900044924_TS20190390,0.083080057,SGB_6458
T1900044925_TS20190391,0.013184084,SGB_6458
T1900044926_TS20190392,0.063076142,SGB_6458
T1900044927_TS20190393,0.04047801,SGB_6458
T1900044928_TS20190394,0.258150724,SGB_6458
T1900044929_TS20190395,0.178811505,SGB_6458
T1900044930_TS20190396,0.119685085,SGB_6458
T1900044931_TS20190397,0.17325509,SGB_6458
T1900044932_TS20190398,0.073158397,SGB_6458
T1900044933_TS20190399,0.044812934,SGB_6458
T1900044934_TS20190400,0.055252315,SGB_6458
T1900044935_TS20190401,0.115759695,SGB_6458
T1900044936_TS20190402,0.040555499,SGB_6458
T1900044937_TS20190403,0.032633968,SGB_6458
T1900044938_TS20190404,0.37490618,SGB_6458
T1900044939_TS20190405,0.09302081,SGB_6458
T1900044940_TS20190406,0.042508461,SGB_6458
T1900044941_TS20190407,0.047449077,SGB_6458
T1900044942_TS20190408,0.293435809,SGB_6458
T1900044943_TS20190409,0.061292758,SGB_6458
T1900044944_TS20190410,0.023840211,SGB_6458
T1900044945_TS20190411,0.065504148,SGB_6458
T1900044946_TS20190412,0.269344038,SGB_6458
T1900044949_TA20190002,0.000106689,SGB_6458
T1900044950_TA20190003,0.003761052,SGB_6458
T1900044952_TA20190005,7.97E-05,SGB_6458
T1900044953_TA20190006,0.003153115,SGB_6458
T1900044954_TA20190008,0.000103694,SGB_6458
T1900044957_TA20190013,7.26E-05,SGB_6458
T1900044959_TA20190016,0.000414775,SGB_6458
T1900044962_TA20190024,0.000147492,SGB_6458
T1900044965_TA20190027,0.00023434,SGB_6458
T1900044968_TA20190030,0.000326055,SGB_6458
T1900044969_TA20190031,7.26E-05,SGB_6458
T1900044978_TA20190040,0.000101448,SGB_6458
T1900044979_TA20190041,0.000302846,SGB_6458
T1900044980_TA20190042,0.002085855,SGB_6458
T1900044981_TA20190043,0.000488896,SGB_6458
T1900044986_TA20190048,6.06E-05,SGB_6458
T1900044987_TA20190049,0.000370228,SGB_6458
T1900044988_TA20190050,0.000170327,SGB_6458
T1900044990_TA20190052,0.000229848,SGB_6458
T1900044991_TA20190053,0.000150487,SGB_6458
T1900044993_TA20190055,8.16E-05,SGB_6458
T1900044994_TA20190056,6.70E-05,SGB_6458
T1900044995_TA20190057,0.000259047,SGB_6458
T1900044996_TA20190058,0.000572,SGB_6458
T1900044997_TA20190059,0.000107063,SGB_6458
T1900044998_TA20190060,0.000168081,SGB_6458
T1900044999_TA20190061,0.000925008,SGB_6458
T1900045000_TA20190062,0.000290118,SGB_6458
T1900045001_TA20190063,8.68E-05,SGB_6458
T1900045002_TA20190064,0.000401673,SGB_6458
T1900045004_TA20190066,0.0002291,SGB_6458
T1900045005_TA20190067,0.000277765,SGB_6458
T1900045006_TA20190068,0.000161343,SGB_6458
T1900045007_TA20190069,0.00038071,SGB_6458
T1900045011_TC20190004,0.013033597,SGB_6458
T1900045013_TC20190006,0.032732795,SGB_6458
T1900045019_TC20190012,0.77561564,SGB_6458
T1900045020_TC20190013,1.565697124,SGB_6458
T1900045021_TC20190014,0.011912057,SGB_6458
T1900045022_TC20190015,0.139165666,SGB_6458
T1900045023_TC20190016,0.012904822,SGB_6458
T1900045024_TC20190017,0.010640779,SGB_6458
T1900045025_TC20190018,0.020563563,SGB_6458
T1900045026_TC20190019,0.023571057,SGB_6458
T1900045027_TC20190020,0.088943435,SGB_6458
T1900045028_TC20190021,0.538348544,SGB_6458
T1900045029_TC20190022,0.018010524,SGB_6458
T1900045030_TC20190023,1.217934757,SGB_6458
T1900045031_TC20190024,0.089919355,SGB_6458
T1900045032_TC20190025,0.506160796,SGB_6458
T1900045033_TC20190026,0.001448344,SGB_6458
T1900045034_TC20190027,1.195479999,SGB_6458
T1900045035_TC20190028,1.59488711,SGB_6458
T1900045036_TC20190029,1.374522101,SGB_6458
T1900045037_TC20190030,1.1110508,SGB_6458
T1900045038_TC20190031,0.45921746,SGB_6458
T1900045039_TC20190032,0.016469717,SGB_6458
T1900045040_TC20190033,0.021220914,SGB_6458
T1900045041_TC20190034,1.782175301,SGB_6458
T1900045042_TC20190035,1.595218781,SGB_6458
T1900045043_TC20190036,0.136900874,SGB_6458
T1900045044_TC20190037,2.211558151,SGB_6458
T1900045045_TC20190038,1.072014396,SGB_6458
T1900045046_TC20190039,0.060224375,SGB_6458
T1900045048_TC20190041,0.168688446,SGB_6458
T1900045049_TC20190042,0.907667238,SGB_6458
T1900045050_TC20190043,0.022418446,SGB_6458
T1900045051_TC20190044,1.078227413,SGB_6458
T1900045053_TC20190046,0.039916865,SGB_6458
T1900045054_TC20190047,0.013276922,SGB_6458
T1900045055_TC20190048,1.680693154,SGB_6458
T1900045056_TC20190049,0.052546543,SGB_6458
T1900045058_TC20190051,0.001059399,SGB_6458
T1900045060_TC20190053,0.910576653,SGB_6458
T1900045061_TC20190054,0.019688717,SGB_6458
T1900045063_TC20190056,0.285479464,SGB_6458
T1900045064_TC20190058,0.507098532,SGB_6458
T1900045065_TC20190059,1.379168855,SGB_6458
T1900045066_TC20190060,1.024640188,SGB_6458
T1900045067_TC20190061,1.384290654,SGB_6458
T1900045068_TC20190062,0.025979223,SGB_6458
