Sample_ID,HQ_MAGs_n,MQ_MAGs_n,LQ_MAGs_n,Sample_n,HMQ_MAGs,Bins
T1900045294_TH20190064,33,115,168,s8,148,316
T1900045295_TH20190065,35,116,147,s8,151,298
T1900045296_TH20190066,44,133,186,s8,177,363
T1900045297_TH20190067,55,128,151,s8,183,334
T1900045298_TH20190068,20,81,133,s8,101,234
T1900045299_TH20190069,30,85,143,s8,115,258
T1900045300_TH20190070,31,96,160,s8,127,287
T1900045301_TH20190071,25,100,133,s8,125,258
T1900045302_TH20190072,29,90,163,s8,119,282
T1900045303_TH20190073,30,102,157,s8,132,289
T1900045304_TH20190074,32,138,180,s8,170,350
T1900045305_TH20190075,40,126,180,s8,166,346
T1900045306_TH20190076,30,113,176,s8,143,319
T1900045307_TH20190077,35,100,152,s8,135,287
T1900045308_TH20190078,33,114,155,s8,147,302
T1900045309_TH20190079,31,99,144,s8,130,274
T1900045310_TH20190080,24,79,118,s8,103,221
T1900045311_TH20190081,18,100,146,s8,118,264
T2001009369_TH82,18,111,192,s8,129,321
T1900045231_TH20190001,11,25,86,s10,36,122
T1900045232_TH20190002,25,111,210,s10,136,346
T1900045235_TH20190005,16,117,181,s10,133,314
T1900045236_TH20190006,72,180,300,s10,252,552
T1900045237_TH20190007,21,94,169,s10,115,284
T1900045238_TH20190008,2,5,29,s10,7,36
T1900045239_TH20190009,37,119,252,s10,156,408
T1900045240_TH20190010,16,109,245,s10,125,370
T1900045241_TH20190011,14,58,118,s10,72,190
T1900045242_TH20190012,33,149,234,s10,182,416
T1900045243_TH20190013,57,211,321,s10,268,589
T1900045244_TH20190014,3,16,158,s10,19,177
T1900045245_TH20190015,16,82,179,s10,98,277
T1900045246_TH20190016,54,173,319,s10,227,546
T1900045247_TH20190017,53,236,328,s10,289,617
T1900045248_TH20190018,40,194,346,s10,234,580
T1900045249_TH20190019,59,243,349,s10,302,651
T1900045250_TH20190020,40,258,388,s10,298,686
T1900045252_TH20190022,28,104,169,s10,132,301
T1900045253_TH20190023,28,99,194,s10,127,321
T1900045254_TH20190024,32,108,192,s10,140,332
T1900045255_TH20190025,23,80,120,s10,103,223
T1900045256_TH20190026,25,61,112,s10,86,198
T1900045257_TH20190027,19,75,184,s10,94,278
T1900045258_TH20190028,35,88,153,s10,123,276
T1900045259_TH20190029,31,93,153,s10,124,277
T1900045260_TH20190030,24,91,124,s10,115,239
T1900045261_TH20190031,22,72,100,s10,94,194
T1900045262_TH20190032,21,99,154,s10,120,274
T1900045263_TH20190033,10,39,92,s10,49,141
T1900045264_TH20190034,35,83,134,s10,118,252
T1900045265_TH20190035,35,117,199,s10,152,351
T1900045266_TH20190036,26,101,149,s10,127,276
T1900045267_TH20190037,41,138,188,s10,179,367
T1900045268_TH20190038,12,57,101,s10,69,170
T1900045269_TH20190039,28,94,164,s10,122,286
T1900045270_TH20190040,36,97,191,s10,133,324
T1900045271_TH20190041,31,81,161,s10,112,273
T1900045272_TH20190042,22,64,130,s10,86,216
T1900045273_TH20190043,26,71,135,s10,97,232
T1900045274_TH20190044,17,75,93,s10,92,185
T1900045275_TH20190045,30,81,159,s10,111,270
T1900045276_TH20190046,26,115,169,s10,141,310
T1900045277_TH20190047,26,103,178,s10,129,307
T1900045278_TH20190048,12,59,112,s10,71,183
T1900045279_TH20190049,31,108,145,s10,139,284
T1900045280_TH20190050,30,94,177,s10,124,301
T1900045281_TH20190051,24,79,136,s10,103,239
T1900045282_TH20190052,37,98,131,s10,135,266
T1900045283_TH20190053,32,123,155,s10,155,310
T1900045284_TH20190054,44,147,176,s10,191,367
T1900045285_TH20190055,40,124,220,s10,164,384
T1900045286_TH20190056,42,110,160,s10,152,312
T1900045287_TH20190057,49,148,230,s10,197,427
T1900045288_TH20190058,40,116,163,s10,156,319
T1900045289_TH20190059,22,54,114,s10,76,190
T1900045290_TH20190060,63,129,201,s10,192,393
T1900045291_TH20190061,26,87,140,s10,113,253
T1900045292_TH20190062,30,105,125,s10,135,260
T1900045293_TH20190063,40,124,211,s10,164,375
T1900045294_TH20190064,35,116,178,s10,151,329
T1900045295_TH20190065,35,122,152,s10,157,309
T1900045296_TH20190066,46,127,217,s10,173,390
T1900045297_TH20190067,54,123,180,s10,177,357
