"","s1","s4","s6","s8","s10","s15","s20"
"305_1",0,0,1,1,1,1,1
"306_1",0,0,0,0,0,1,1
"307_1",0,0,0,0,0,1,1
"307_2",0,0,1,0,0,1,1
"308_1",0,0,1,1,1,1,1
"309_1",0,0,0,1,0,0,1
"310_1",0,0,0,0,1,1,1
"311_1",0,0,1,1,1,1,1
"312_1",0,1,0,0,0,1,1
"313_1",1,1,1,1,1,1,1
"314_1",1,1,1,1,1,1,1
"315_1",1,1,1,1,1,1,1
"316_1",1,1,1,1,1,1,1
"317_1",0,0,0,1,1,1,1
"318_1",1,1,1,1,1,1,1
"319_1",1,1,1,1,1,1,1
"320_1",1,1,1,1,1,1,1
"321_1",1,1,1,1,1,1,1
"322_1",1,1,1,1,1,1,1
"323_1",1,1,1,1,1,1,1
"324_1",1,1,1,1,1,1,1
"325_1",1,1,1,1,1,1,1
"326_1",1,1,1,1,1,1,1
"327_1",0,0,0,1,1,1,1
"328_1",0,1,1,1,1,1,1
"329_1",0,1,1,1,1,1,1
"330_1",0,0,1,0,1,0,1
"331_1",1,1,1,1,1,1,1
"332_1",0,1,1,1,1,1,1
"333_1",1,1,1,1,1,1,1
"334_1",1,1,1,1,1,1,1
"335_1",1,1,1,1,1,1,1
"336_1",1,1,1,1,1,1,1
"337_1",1,1,1,1,1,1,1
"338_1",0,0,1,1,1,1,1
"338_2",0,1,1,1,1,1,1
"339_1",1,1,1,1,1,1,1
"340_1",1,1,1,1,1,1,1
"341_1",1,1,1,1,1,1,1
"342_0",0,0,0,0,0,1,0
"343_1",1,1,1,1,1,1,1
"344_1",0,1,1,0,0,1,1
"345_1",0,1,0,1,1,1,1
"346_1",1,1,1,1,1,1,1
"347_1",0,0,0,0,1,1,1
"348_1",1,1,1,1,1,1,1
"349_1",0,1,1,1,1,1,1
"350_1",1,1,1,1,1,1,1
"351_1",0,0,0,0,0,1,1
"352_1",1,1,1,1,1,1,1
"353_1",1,1,1,1,1,1,1
"354_0",0,0,0,0,0,1,0
"355_1",0,1,1,1,1,1,1
"356_1",1,1,1,1,1,1,1
"357_0",0,1,0,0,0,0,0
"358_1",1,1,1,0,0,1,1
"359_1",1,1,1,1,1,1,1
"360_1",1,1,1,1,1,1,1
"361_1",1,1,1,1,1,1,1
"362_1",1,0,0,1,1,1,1
"363_1",0,0,1,1,1,1,1
"363_2",0,1,1,1,1,1,1
"364_0",0,0,0,0,0,1,0
"365_1",0,0,0,0,1,1,1
"366_1",1,1,1,1,1,1,1
"367_1",1,1,1,1,1,1,1
"368_1",1,1,1,1,1,1,1
"369_1",1,1,0,0,1,1,1
"369_2",1,1,1,1,1,1,1
"370_1",1,1,1,1,1,1,1
"371_1",1,1,1,1,1,1,1
"372_1",0,0,0,0,0,1,1
"373_1",1,0,1,0,1,1,1
"374_0",1,0,0,0,0,0,0
"375_1",0,0,0,0,1,1,1
"376_1",1,1,1,1,1,1,1
"376_2",1,1,1,1,1,1,1
"377_1",0,1,1,1,1,1,1
"377_2",1,1,1,1,1,1,1
"378_0",0,0,0,0,1,0,0
"379_1",0,1,1,1,1,1,1
"380_1",0,0,0,0,0,1,1
"381_1",1,1,1,1,1,1,1
"382_1",0,1,1,0,1,1,1
"382_2",1,1,1,1,1,1,1
"383_1",1,1,1,1,1,1,1
"384_1",0,1,1,1,1,1,1
"385_1",1,1,1,1,1,1,1
"386_1",1,1,1,1,1,1,0
"387_1",1,1,1,1,1,1,1
"388_1",1,1,1,1,1,1,1
"389_1",0,1,1,1,1,1,1
"390_1",0,0,0,0,0,1,1
"391_1",1,1,1,1,1,1,1
"392_1",1,1,1,1,1,1,1
"393_1",1,1,1,1,1,1,1
"394_1",0,0,1,0,0,0,1
"395_0",0,0,0,0,0,1,0
"396_1",1,1,1,1,1,1,1
"397_1",1,1,1,1,1,1,1
"398_1",1,1,1,1,1,1,1
"399_1",1,1,1,1,1,1,1
"399_2",1,1,1,1,1,1,1
"399_3",1,1,1,1,1,1,1
"400_1",0,1,0,0,0,1,1
"401_1",0,0,1,0,0,1,1
"402_1",1,1,1,1,1,1,1
"403_1",0,1,1,1,1,1,1
"404_1",1,1,1,1,1,1,1
"405_1",1,1,1,1,1,1,1
"406_1",1,1,1,1,1,1,1
"407_1",1,1,1,1,1,1,1
"408_1",1,1,1,1,1,1,1
"409_1",0,1,1,1,0,1,1
"410_1",1,1,1,1,1,1,1
"411_1",1,1,1,1,1,1,1
"412_1",1,1,1,1,1,1,1
"413_1",0,1,0,1,1,1,1
"414_1",1,1,1,1,1,1,1
"415_1",1,1,1,1,1,1,1
"416_1",1,1,1,1,1,1,1
"417_1",1,1,1,1,1,1,1
"418_1",1,1,1,1,1,1,1
"419_1",1,1,1,1,1,1,1
"420_1",1,1,1,1,1,1,1
"421_1",1,1,1,1,1,1,1
"422_1",1,1,1,1,1,1,1
"423_1",0,1,1,1,1,1,1
"424_1",1,0,0,0,1,1,0
"425_1",1,1,1,1,1,1,1
"425_2",1,1,1,1,1,1,1
"426_1",1,1,1,1,1,1,1
"427_1",1,1,0,0,0,0,0
"427_2",1,1,1,1,1,1,1
"428_1",1,1,1,1,1,1,1
"429_1",1,1,1,1,1,1,1
"430_1",1,1,1,1,1,1,1
"430_2",1,1,1,1,1,1,1
"431_1",0,1,1,1,1,1,1
"432_1",1,1,1,1,1,1,1
"433_1",1,1,1,1,1,1,1
"434_0",0,0,0,1,0,0,0
"435_1",1,1,1,1,1,1,1
"436_1",1,1,1,1,1,1,1
"437_1",1,1,0,1,1,0,1
"438_1",1,1,1,1,1,1,1
"439_1",1,1,1,1,1,1,1
"440_1",1,1,1,1,1,1,1
"441_1",1,1,1,1,1,1,1
"442_1",1,1,1,1,1,1,1
"443_1",1,1,1,1,1,1,1
"444_1",1,1,1,1,1,1,1
"445_1",1,1,1,1,1,1,1
"446_1",1,1,1,1,1,1,1
"447_1",0,1,1,1,1,1,1
"448_1",0,0,0,0,0,1,1
"449_1",1,1,1,1,1,1,1
"449_2",1,1,1,1,1,1,1
"450_1",0,0,1,0,1,1,1
"451_1",0,1,1,1,1,1,1
"451_2",1,1,1,1,1,1,1
"452_1",1,1,1,1,1,1,1
"453_1",1,1,1,1,1,1,1
"454_1",1,1,1,1,1,1,1
"455_1",0,0,1,1,1,0,0
"456_1",0,0,0,1,1,1,1
"457_1",0,1,1,1,1,1,1
"458_1",1,1,1,1,1,1,1
"458_2",1,1,1,1,1,1,1
"459_1",0,0,0,0,0,1,1
"460_1",1,1,1,1,1,1,1
"461_1",1,1,1,1,1,0,1
"462_0",0,0,0,0,0,1,0
"463_1",1,1,1,1,1,1,1
"464_0",0,0,0,0,0,1,0
"465_1",1,1,1,1,1,1,1
"466_1",0,1,1,1,1,1,1
"467_1",1,1,1,1,1,1,1
"468_1",1,1,0,1,1,1,1
"469_1",1,1,1,1,1,1,1
"470_1",1,0,0,0,0,1,0
"471_1",1,1,1,1,1,1,1
"471_2",1,1,1,1,1,1,1
"472_1",1,1,1,1,1,1,1
"473_1",1,1,1,0,0,1,1
"473_2",1,1,1,1,1,1,1
"474_1",1,1,1,1,1,1,1
"475_1",1,1,1,1,1,1,1
"476_1",1,1,1,1,1,1,1
"477_1",1,1,1,1,1,1,1
"478_1",1,1,1,1,1,1,1
"478_2",1,0,0,0,0,0,0
"479_1",1,1,1,1,1,1,1
"479_2",1,1,1,1,1,1,1
"480_1",1,1,1,1,1,1,1
"481_1",1,1,1,1,1,1,1
"482_1",1,1,1,1,1,1,1
"483_1",1,0,0,1,1,1,0
"484_1",1,0,0,1,0,1,1
"485_1",1,1,1,1,1,1,1
"486_1",1,1,1,1,1,1,1
"487_0",0,0,1,0,0,0,0
"488_1",0,1,0,1,1,1,1
"489_1",1,1,1,1,1,1,1
"490_1",1,1,1,1,1,1,1
"491_1",0,1,1,1,1,1,1
"492_1",0,0,1,1,1,1,1
"493_1",0,1,1,1,0,0,0
"494_1",1,1,1,1,1,1,1
"495_1",1,1,0,1,1,1,0
"496_1",1,1,1,1,1,1,1
"497_1",0,1,0,0,1,1,0
"498_1",1,1,1,1,1,1,1
"498_2",1,1,0,1,0,1,1
"499_1",1,1,1,1,1,1,1
"499_2",1,1,1,1,1,1,1
"500_1",1,1,1,1,1,1,1
"501_1",1,1,1,1,1,1,1
"501_2",0,0,0,0,0,0,1
"502_1",0,1,1,1,1,1,1
"503_1",1,1,1,1,1,1,1
"504_1",1,1,1,1,1,1,1
"505_1",1,1,1,1,1,1,1
"506_1",0,0,0,1,1,0,0
"506_2",1,1,1,0,0,1,1
"507_1",1,1,1,1,1,1,1
"508_1",0,0,0,1,1,1,1
"508_2",0,0,0,0,0,0,1
"509_1",0,1,0,1,0,1,1
"510_1",0,1,1,1,1,1,1
"511_1",0,0,0,1,1,1,1
"512_1",0,1,1,1,1,1,1
"513_1",1,1,1,1,1,1,1
"514_1",0,1,1,1,1,1,1
"515_1",1,1,1,1,1,1,1
"516_1",1,1,1,1,1,1,1
"517_0",0,1,0,0,0,0,0
"518_1",1,1,1,1,1,1,1
"519_1",0,0,1,1,1,0,1
"520_1",0,1,0,0,1,0,0
"521_1",1,1,1,1,1,1,1
"522_1",1,1,0,0,1,0,0
"523_1",0,0,0,1,1,1,1
"524_1",1,1,0,0,0,1,0
"525_1",1,1,1,1,1,1,1
"526_1",1,1,1,1,1,1,1
"527_0",0,0,1,0,0,0,0
"528_1",0,0,0,0,0,1,1
"529_1",0,0,0,1,1,1,1
"530_1",0,0,0,0,0,1,1
"531_1",0,0,0,1,1,1,1
"532_0",0,0,0,0,0,0,1
"533_1",0,1,1,0,0,0,0
"534_1",1,1,1,1,1,1,1
"535_1",1,1,1,1,1,1,1
"536_1",1,1,0,1,1,1,1
"537_1",1,0,1,0,0,0,0
"538_1",0,1,0,0,1,1,1
"539_1",1,1,1,1,1,1,1
"540_1",1,0,1,1,1,1,1
"541_1",1,1,0,0,0,0,0
"541_2",0,0,1,1,1,1,1
"542_1",1,1,1,1,1,1,1
"543_1",0,0,1,1,1,1,1
"544_1",1,1,1,1,1,1,1
"545_1",0,0,0,1,1,1,1
"546_1",0,0,0,1,1,0,1
"547_0",0,0,0,0,0,1,0
"548_1",0,0,0,0,0,1,1
"549_1",1,1,1,1,0,1,1
"550_1",0,0,0,1,1,1,1
"551_1",0,0,1,0,1,1,1
"552_0",0,0,0,0,1,0,0
"553_1",1,1,1,1,1,1,1
"554_1",0,1,0,0,1,0,0
"555_1",1,1,1,1,1,1,1
"556_1",0,0,0,1,0,0,1
"557_1",0,0,0,1,1,1,1
"558_1",1,1,1,1,1,1,1
"559_1",0,0,0,1,1,0,1
"560_1",0,0,1,0,1,1,0
"561_1",0,1,1,1,1,1,1
"562_1",0,0,0,0,0,1,1
"563_1",0,0,0,0,1,1,1
"564_1",0,0,0,0,0,1,1
"565_1",0,1,1,1,1,1,1
"566_1",0,0,1,1,1,1,1
"567_1",0,0,0,0,0,1,1
"568_1",0,1,1,1,1,1,1
"569_1",0,0,0,0,0,1,1
"569_2",0,0,0,0,0,0,1
"570_1",1,1,1,1,1,1,1
"571_1",1,0,1,0,1,1,1
"572_1",0,0,0,0,0,1,1
"573_1",0,1,1,1,1,1,1
"574_1",0,1,0,1,1,1,1
"575_1",1,1,1,1,1,1,1
"576_0",0,0,0,0,0,1,0
"577_1",1,1,1,1,1,1,1
"578_1",0,1,1,1,1,1,1
"579_1",0,1,1,1,1,1,1
"580_1",0,1,1,0,1,1,1
"581_1",0,1,0,0,0,1,1
"582_1",0,0,1,0,1,1,1
"583_1",0,0,1,1,1,1,1
"584_1",0,0,0,1,1,1,1
"585_1",0,1,1,1,1,1,1
"586_1",0,0,1,1,1,1,1
"587_1",0,1,1,1,1,1,1
"588_1",0,1,1,1,1,1,1
"589_1",0,1,1,1,1,1,1
"590_0",0,0,0,1,0,0,0
"591_1",0,0,0,1,1,1,1
"592_1",0,1,1,1,1,1,1
"593_1",0,1,1,1,1,1,1
"594_1",0,1,1,1,1,1,1
"595_1",0,0,0,0,0,1,1
"596_1",0,0,1,1,1,1,1
"597_1",0,1,1,1,1,1,1
"598_1",0,0,0,1,0,1,1
"599_1",0,1,0,1,1,1,1
"600_1",0,1,1,1,1,1,1
"601_1",0,0,0,0,0,1,1
"602_1",0,0,0,1,0,1,1
"603_1",0,0,0,0,1,1,1
"604_1",0,1,0,0,1,1,1
"605_0",0,0,0,0,1,0,0
"606_1",1,1,1,1,1,1,1
"607_1",0,1,1,1,1,1,1
"608_1",0,0,0,0,0,1,1
"609_0",0,0,0,0,1,0,0
"610_1",0,1,1,1,1,1,1
"611_1",0,0,1,1,1,1,1
"612_1",0,0,1,0,0,1,1
"613_1",1,0,1,1,1,1,1
"614_1",0,0,1,1,1,1,1
"615_1",0,0,1,1,1,1,1
"616_1",0,1,1,1,1,1,1
"617_1",0,0,1,1,1,1,1
"618_1",1,1,1,1,1,1,1
"619_1",0,0,1,1,1,1,1
"620_1",0,1,1,1,1,1,1
"621_0",0,0,0,0,0,1,0
"622_1",0,1,1,1,1,1,1
"623_1",0,1,1,1,1,1,1
"624_1",0,1,0,0,1,1,1
"625_1",1,1,1,1,1,1,1
"626_1",0,0,0,0,0,1,1
"627_1",0,1,0,1,0,1,0
"628_1",0,1,1,1,1,1,1
"629_0",0,0,0,0,0,0,1
"630_1",0,0,0,0,1,1,1
"631_1",0,0,0,1,1,0,1
"632_1",0,0,0,0,1,1,1
"633_1",0,1,1,1,1,1,1
"634_1",0,1,1,1,1,1,1
"635_1",0,0,1,0,1,0,0
"636_0",0,0,0,0,0,0,1
"637_1",0,1,1,1,0,1,1
"638_1",0,0,0,1,1,1,1
"639_1",0,0,0,1,0,1,1
"640_0",0,0,0,1,0,0,0
"641_0",0,0,0,0,0,0,1
"642_0",0,0,0,0,0,1,0
"643_1",0,1,1,1,1,1,1
"644_1",0,1,1,1,1,1,1
"645_1",1,1,1,1,1,1,1
"646_1",1,1,1,1,1,1,0
"647_0",0,0,0,0,1,0,0
"648_1",0,0,0,0,0,1,1
"649_1",0,0,1,0,1,1,1
"650_1",0,1,1,1,1,1,1
"651_1",1,1,1,1,1,1,1
"652_1",0,0,1,0,1,1,1
"653_1",0,1,0,1,1,1,1
"654_1",1,1,1,1,1,1,1
"655_1",1,1,1,1,1,1,1
"656_1",0,1,1,1,1,1,1
"657_1",0,0,1,1,1,0,1
"657_2",1,1,1,1,1,1,1
"658_1",1,0,1,1,1,0,0
"659_1",0,1,1,1,1,1,1
"660_0",0,0,0,1,0,0,0
"661_0",0,0,0,0,0,0,1
"662_1",0,1,1,1,1,1,1
"663_1",0,0,1,0,0,1,1
"664_1",0,1,1,1,1,1,1
