Host	Sample_ID
Yak	T1900045318_YK20190007
Yak	T1900045497_YK20190191
Yak	T1900045324_YK20190013
Yak	T1900045315_YK20190004
Yak	T1900045499_YK20190193
Yak	T1900045502_YK20190196
Yak	T1900045496_YK20190190
Yak	T1900045498_YK20190192
Yak	T1900045345_YK20190035
Yak	T1900045350_YK20190040
Yak	T1900045347_YK20190037
Yak	T1900045463_YK20190154
Yak	T1900045467_YK20190158
Yak	T1900045323_YK20190012
Yak	T1900045319_YK20190008
Yak	T1900045466_YK20190157
Yak	T1900045356_YK20190046
Yak	T1900045487_YK20190181
Yak	T1900045481_YK20190175
Yak	T1900045529_YK20190223
Yak	T1900045532_YK20190226
Yak	T1900045330_YK20190019
Yak	T1900045362_YK20190052
Yak	T1900045505_YK20190199
Yak	T1900045486_YK20190180
Yak	T1900045326_YK20190015
Yak	T1900045353_YK20190043
Yak	T1900045530_YK20190224
Yak	T1900045507_YK20190201
Yak	T1900045354_YK20190044
Yak	T1900045331_YK20190020
Yak	T1900045364_YK20190054
Yak	T1900045333_YK20190022
Yak	T1900045359_YK20190049
Yak	T1900045363_YK20190053
Yak	T1900045528_YK20190222
Yak	T1900045510_YK20190204
Yak	T1900045508_YK20190202
Yak	T1900045332_YK20190021
Yak	T1900045485_YK20190179
Yak	T1900045531_YK20190225
Yak	T1900045533_YK20190227
Yak	T1900045511_YK20190205
Yak	T1900045509_YK20190203
Yak	T1900045361_YK20190051
Yak	T1900045483_YK20190177
Yak	T1900045631_YK20190325
Yak	T1900045520_YK20190214
Yak	T1900045396_YK20190086
Yak	T1900045634_YK20190328
Yak	T1900045398_YK20190088
Yak	T1900045633_YK20190327
Yak	T1900045314_YK20190003
Yak	T1900045404_YK20190094
Yak	T1900045400_YK20190090
Yak	T1900045397_YK20190087
Yak	T1900045527_YK20190221
Yak	T1900045524_YK20190218
Yak	T1900045521_YK20190215
Yak	T1900045395_YK20190085
Yak	T1900045523_YK20190217
Yak	T1900045632_YK20190326
Yak	T1900045628_YK20190322
Yak	T1900045526_YK20190220
Yak	T1900045312_YK20190001
Yak	T1900045399_YK20190089
Yak	T1900045518_YK20190212
Yak	T1900045513_YK20190207
Yak	T1900045515_YK20190209
Yak	T1900045636_YK20190330
Yak	T1900045639_YK20190333
Yak	T1900045342_YK20190032
Yak	T1900045640_YK20190334
Yak	T1900045641_YK20190335
Yak	T1900045642_YK20190336
Yak	T1900045337_YK20190026
Yak	T1900045340_YK20190030
Yak	T1900045638_YK20190332
Yak	T1900045338_YK20190027
Yak	T1900045626_YK20190320
Yak	T1900045378_YK20190068
Yak	T1900045367_YK20190057
Yak	T1900045366_YK20190056
Yak	T1900045371_YK20190061
Yak	T1900045369_YK20190059
Yak	T1900045391_YK20190081
Yak	T1900045389_YK20190079
Yak	T1900045375_YK20190065
Yak	T1900045368_YK20190058
Yak	T1900045373_YK20190063
Yak	T1900045376_YK20190066
Yak	T1900045646_YK20190340
Yak	T1900045649_YK20190343
Yak	T1900045645_YK20190339
Yak	T1900045648_YK20190342
Yak	T1900045656_YK20190350
Yak	T1900045658_YK20190352
Yak	T1900045653_YK20190347
Yak	T1900045647_YK20190341
Yak	T1900045494_YK20190188
Yak	T1900045491_YK20190185
Yak	T1900045488_YK20190182
Yak	T1900045661_YK20190355
Yak	T1900045355_YK20190045
Yak	T1900045407_YK20190097
Yak	T1900045409_YK20190099
Yak	T1900045411_YK20190101
Yak	T1900045412_YK20190102
Yak	T1900045413_YK20190103
Yak	T1900045414_YK20190104
Yak	T1900045415_YK20190105
Yak	T1900045416_YK20190106
Yak	T1900045417_YK20190107
Yak	T1900045418_YK20190108
Yak	T1900045420_YK20190110
Yak	T1900045422_YK20190112
Yak	T1900045424_YK20190115
Yak	T1900045425_YK20190116
Yak	T1900045427_YK20190118
Yak	T1900045428_YK20190119
Yak	T1900045429_YK20190120
Yak	T1900045430_YK20190121
Yak	T1900045432_YK20190123
Yak	T1900045433_YK20190124
Yak	T1900045435_YK20190126
Yak	T1900045436_YK20190127
Yak	T1900045441_YK20190132
Yak	T1900045442_YK20190133
Yak	T1900045443_YK20190134
Yak	T1900045445_YK20190136
Yak	T1900045451_YK20190142
Yak	T1900045452_YK20190143
Yak	T1900045453_YK20190144
Yak	T1900045454_YK20190145
Yak	T1900045455_YK20190146
Yak	T1900045456_YK20190147
Yak	T1900045457_YK20190148
Yak	T1900045458_YK20190149
Yak	T1900045459_YK20190150
Yak	T1900045460_YK20190151
Yak	T1900045461_YK20190152
Yak	T1900045462_YK20190153
Yak	T1900045534_YK20190228
Yak	T1900045535_YK20190229
Yak	T1900045536_YK20190230
Yak	T1900045537_YK20190231
Yak	T1900045538_YK20190232
Yak	T1900045539_YK20190233
Yak	T1900045540_YK20190234
Yak	T1900045542_YK20190236
Yak	T1900045543_YK20190237
Yak	T1900045544_YK20190238
Yak	T1900045545_YK20190239
Yak	T1900045546_YK20190240
Yak	T1900045547_YK20190241
Yak	T1900045548_YK20190242
Yak	T1900045550_YK20190244
Yak	T1900045551_YK20190245
Yak	T1900045552_YK20190246
Yak	T1900045553_YK20190247
Yak	T1900045554_YK20190248
Yak	T1900045555_YK20190249
Yak	T1900045556_YK20190250
Yak	T1900045557_YK20190251
Yak	T1900045559_YK20190253
Yak	T1900045560_YK20190254
Yak	T1900045561_YK20190255
Yak	T1900045562_YK20190256
Yak	T1900045563_YK20190257
Yak	T1900045564_YK20190258
Yak	T1900045565_YK20190259
Yak	T1900045566_YK20190260
Yak	T1900045567_YK20190261
Yak	T1900045568_YK20190262
Yak	T1900045569_YK20190263
Yak	T1900045570_YK20190264
Yak	T1900045571_YK20190265
Yak	T1900045572_YK20190266
Yak	T1900045573_YK20190267
Yak	T1900045574_YK20190268
Yak	T1900045575_YK20190269
Yak	T1900045589_YK20190283
Yak	T1900045769_YK20190463
Yak	T1900045770_YK20190464
Yak	T1900045771_YK20190465
Yak	T1900045772_YK20190466
Yak	T1900045351_YK20190041
Yak	T1900045408_YK20190098
Yak	T1900045419_YK20190109
Yak	T1900045410_YK20190100
Yak	T1900045426_YK20190117
Yak	T1900045321_YK20190010
Yak	T1900045316_YK20190005
