SGB,Freq,Host,Type
T1900045734_YK20190428_bin.304,0.964705882,Tibetan antelope,Common
T1900045739_YK20190433_bin.276,0.843137255,Tibetan antelope,Common
T1900045771_YK20190465_bin.3,0.937254902,Tibetan antelope,Common
T1900045773_TC20190227_bin.314,0.894117647,Tibetan antelope,Common
T1900045776_TC20190230_bin.76,0.533333333,Tibetan antelope,Common
T2001009363_TS20190217_bin.110,0.807843137,Tibetan antelope,Common
T2001009365_TS20190219_bin.491,0.749019608,Tibetan antelope,Common
T2001009367_TS20190221_bin.274,0.51372549,Tibetan antelope,Common
T2001009368_TS-100_bin.342,0.619607843,Tibetan antelope,Common
T2001009368_TS-100_bin.380,0.870588235,Tibetan antelope,Common
T2001009368_TS-100_bin.499,0.82745098,Tibetan antelope,Common
TP20200812-DBC100_DT2009055323-1_bin.116,0.88627451,Tibetan antelope,Common
TP20200812-DBC101_DT2009055324-1_bin.179,0.976470588,Tibetan antelope,Common
TP20200812-DBC101_DT2009055324-1_bin.203,0.666666667,Tibetan antelope,Common
TP20200812-DBC101_DT2009055324-1_bin.86,0.97254902,Tibetan antelope,Common
TP20200812-DBC101_DT2009055324-1_bin.89,0.937254902,Tibetan antelope,Common
TP20200812-DBC102_DT2009055325-1_bin.144,0.729411765,Tibetan antelope,Common
TP20200812-DBC102_DT2009055325-1_bin.15,0.537254902,Tibetan antelope,Common
TP20200812-DBC105_DT2009055328-1_bin.170,0.560784314,Tibetan antelope,Common
TP20200812-DBC105_DT2009055328-1_bin.350,0.549019608,Tibetan antelope,Common
TP20200812-DBC17_DT2009055240-1_bin.220,0.741176471,Tibetan antelope,Common
TP20200812-DBC17_DT2009055240-1_bin.347,0.701960784,Tibetan antelope,Common
TP20200812-DBC18_DT2009055241-1_bin.155,0.501960784,Tibetan antelope,Common
TP20200812-DBC18_DT2009055241-1_bin.71,0.647058824,Tibetan antelope,Common
TP20200812-DBC19_DT2009055242-1_bin.77,0.709803922,Tibetan antelope,Common
TP20200812-DBC1_DT2009055224-1_bin.20,0.984313725,Tibetan antelope,Common
TP20200812-DBC1_DT2009055224-1_bin.340,0.968627451,Tibetan antelope,Common
TP20200812-DBC20_DT2009055243-1_bin.122,0.556862745,Tibetan antelope,Common
TP20200812-DBC21_DT2009055244-1_bin.52,0.525490196,Tibetan antelope,Common
TP20200812-DBC25_DT2009055248-1_bin.153,0.984313725,Tibetan antelope,Common
TP20200812-DBC25_DT2009055248-1_bin.202,0.509803922,Tibetan antelope,Common
TP20200812-DBC25_DT2009055248-1_bin.317,0.71372549,Tibetan antelope,Common
TP20200812-DBC27_DT2009055250-1_bin.207,0.623529412,Tibetan antelope,Common
TP20200812-DBC28_DT2009055251-1_bin.72,0.941176471,Tibetan antelope,Common
TP20200812-DBC29_DT2009055252-1_bin.112,0.996078431,Tibetan antelope,Common
TP20200812-DBC30_DT2009055253-1_bin.251,0.984313725,Tibetan antelope,Common
TP20200812-DBC30_DT2009055253-1_bin.93,0.77254902,Tibetan antelope,Common
TP20200812-DBC31_DT2009055254-1_bin.345,0.898039216,Tibetan antelope,Common
TP20200812-DBC31_DT2009055254-1_bin.487,0.949019608,Tibetan antelope,Common
TP20200812-DBC32_DT2009055255-1_bin.138,0.533333333,Tibetan antelope,Common
TP20200812-DBC32_DT2009055255-1_bin.164,0.580392157,Tibetan antelope,Common
TP20200812-DBC33_DT2009055256-1_bin.204,0.635294118,Tibetan antelope,Common
TP20200812-DBC33_DT2009055256-1_bin.232,0.764705882,Tibetan antelope,Common
TP20200812-DBC33_DT2009055256-1_bin.40,0.980392157,Tibetan antelope,Common
TP20200812-DBC34_DT2009055257-1_bin.195,0.980392157,Tibetan antelope,Common
TP20200812-DBC35_DT2009055258-1_bin.225,0.666666667,Tibetan antelope,Common
TP20200812-DBC37_DT2009055260-1_bin.161,0.858823529,Tibetan antelope,Common
TP20200812-DBC37_DT2009055260-1_bin.164,0.992156863,Tibetan antelope,Common
TP20200812-DBC38_DT2009055261-1_bin.209,0.921568627,Tibetan antelope,Common
TP20200812-DBC39_DT2009055262-1_bin.170,0.643137255,Tibetan antelope,Common
TP20200812-DBC40_DT2009055263-1_bin.268,0.984313725,Tibetan antelope,Common
TP20200812-DBC41_DT2009055264-1_bin.3,0.654901961,Tibetan antelope,Common
TP20200812-DBC42_DT2009055265-1_bin.171,0.847058824,Tibetan antelope,Common
TP20200812-DBC42_DT2009055265-1_bin.323,0.658823529,Tibetan antelope,Common
TP20200812-DBC43_DT2009055266-1_bin.70,0.764705882,Tibetan antelope,Common
TP20200812-DBC45_DT2009055268-1_bin.106,0.964705882,Tibetan antelope,Common
TP20200812-DBC46_DT2009055269-1_bin.308,0.737254902,Tibetan antelope,Common
TP20200812-DBC47_DT2009055270-1_bin.22,0.992156863,Tibetan antelope,Common
TP20200812-DBC47_DT2009055270-1_bin.263,0.964705882,Tibetan antelope,Common
TP20200812-DBC47_DT2009055270-1_bin.31,0.694117647,Tibetan antelope,Common
TP20200812-DBC47_DT2009055270-1_bin.329,0.756862745,Tibetan antelope,Common
TP20200812-DBC48_DT2009055271-1_bin.237,0.882352941,Tibetan antelope,Common
TP20200812-DBC48_DT2009055271-1_bin.433,0.592156863,Tibetan antelope,Common
TP20200812-DBC48_DT2009055271-1_bin.48,0.980392157,Tibetan antelope,Common
TP20200812-DBC49_DT2009055272-1_bin.92,0.976470588,Tibetan antelope,Common
TP20200812-DBC4_DT2009055227-1_bin.137,0.576470588,Tibetan antelope,Common
TP20200812-DBC4_DT2009055227-1_bin.163,0.650980392,Tibetan antelope,Common
TP20200812-DBC4_DT2009055227-1_bin.230,0.666666667,Tibetan antelope,Common
TP20200812-DBC4_DT2009055227-1_bin.7,0.980392157,Tibetan antelope,Common
TP20200812-DBC52_DT2009055275-1_bin.265,0.705882353,Tibetan antelope,Common
TP20200812-DBC52_DT2009055275-1_bin.347,0.788235294,Tibetan antelope,Common
TP20200812-DBC53_DT2009055276-1_bin.344,0.525490196,Tibetan antelope,Common
TP20200812-DBC57_DT2009055280-1_bin.357,0.674509804,Tibetan antelope,Common
TP20200812-DBC58_DT2009055281-1_bin.223,0.678431373,Tibetan antelope,Common
TP20200812-DBC58_DT2009055281-1_bin.270,0.847058824,Tibetan antelope,Common
TP20200812-DBC60_DT2009055283-1_bin.113,0.843137255,Tibetan antelope,Common
TP20200812-DBC60_DT2009055283-1_bin.122,0.815686275,Tibetan antelope,Common
TP20200812-DBC60_DT2009055283-1_bin.133,0.956862745,Tibetan antelope,Common
TP20200812-DBC62_DT2009055285-1_bin.347,0.737254902,Tibetan antelope,Common
TP20200812-DBC63_DT2009055286-1_bin.174,0.91372549,Tibetan antelope,Common
TP20200812-DBC64_DT2009055287-1_bin.102,0.878431373,Tibetan antelope,Common
TP20200812-DBC64_DT2009055287-1_bin.58,0.980392157,Tibetan antelope,Common
TP20200812-DBC65_DT2009055288-1_bin.269,0.615686275,Tibetan antelope,Common
TP20200812-DBC66_DT2009055289-1_bin.268,0.71372549,Tibetan antelope,Common
TP20200812-DBC68_DT2009055291-1_bin.249,0.858823529,Tibetan antelope,Common
TP20200812-DBC68_DT2009055291-1_bin.290,0.941176471,Tibetan antelope,Common
TP20200812-DBC68_DT2009055291-1_bin.384,0.517647059,Tibetan antelope,Common
TP20200812-DBC6_DT2009055229-1_bin.4,0.647058824,Tibetan antelope,Common
TP20200812-DBC70_DT2009055293-1_bin.228,0.592156863,Tibetan antelope,Common
TP20200812-DBC72_DT2009055295-1_bin.203,0.909803922,Tibetan antelope,Common
TP20200812-DBC73_DT2009055296-1_bin.12,0.647058824,Tibetan antelope,Common
TP20200812-DBC75_DT2009055298-1_bin.208,0.898039216,Tibetan antelope,Common
TP20200812-DBC75_DT2009055298-1_bin.321,0.964705882,Tibetan antelope,Common
TP20200812-DBC7_DT2009055230-1_bin.91,0.945098039,Tibetan antelope,Common
TP20200812-DBC85_DT2009055308-1_bin.3,0.549019608,Tibetan antelope,Common
TP20200812-DBC85_DT2009055308-1_bin.385,0.909803922,Tibetan antelope,Common
TP20200812-DBC92_DT2009055315-1_bin.78,0.678431373,Tibetan antelope,Common
TP20200812-DBC92_DT2009055315-1_bin.82,0.984313725,Tibetan antelope,Common
TP20200812-DBC95_DT2009055318-1_bin.136,0.77254902,Tibetan antelope,Common
TP20200814-DZC100_DT2009055428-1_bin.115,0.909803922,Tibetan antelope,Common
TP20200814-DZC100_DT2009055428-1_bin.184,0.956862745,Tibetan antelope,Common
TP20200814-DZC100_DT2009055428-1_bin.318,0.937254902,Tibetan antelope,Common
TP20200814-DZC103_DT2009055431-1_bin.268,0.984313725,Tibetan antelope,Common
TP20200814-DZC109_DT2009055437-1_bin.80,0.823529412,Tibetan antelope,Common
TP20200814-DZC110_DT2009055438-1_bin.466,0.690196078,Tibetan antelope,Common
TP20200814-DZC111_DT2009055439-1_bin.304,0.996078431,Tibetan antelope,Common
TP20200814-DZC113_DT2009055441-1_bin.79,0.82745098,Tibetan antelope,Common
TP20200814-DZC115_DT2009055443-1_bin.121,0.870588235,Tibetan antelope,Common
TP20200814-DZC115_DT2009055443-1_bin.48,0.709803922,Tibetan antelope,Common
TP20200814-DZC116_DT2009055444-1_bin.280,0.556862745,Tibetan antelope,Common
TP20200814-DZC117_DT2009055445-1_bin.113,0.568627451,Tibetan antelope,Common
TP20200814-DZC117_DT2009055445-1_bin.128,0.91372549,Tibetan antelope,Common
TP20200814-DZC117_DT2009055445-1_bin.89,0.976470588,Tibetan antelope,Common
TP20200814-DZC121_DT2009055449-1_bin.38,0.701960784,Tibetan antelope,Common
TP20200814-DZC121_DT2009055449-1_bin.64,0.725490196,Tibetan antelope,Common
TP20200814-DZC127_DT2009055455-1_bin.179,0.921568627,Tibetan antelope,Common
TP20200814-DZC127_DT2009055455-1_bin.320,0.811764706,Tibetan antelope,Common
TP20200814-DZC127_DT2009055455-1_bin.89,0.690196078,Tibetan antelope,Common
TP20200814-DZC132_DT2009055460-1_bin.319,0.57254902,Tibetan antelope,Common
TP20200814-DZC132_DT2009055460-1_bin.322,0.956862745,Tibetan antelope,Common
TP20200814-DZC134_DT2009055462-1_bin.92,0.964705882,Tibetan antelope,Common
TP20200814-DZC141_DT2009055469-1_bin.132,0.709803922,Tibetan antelope,Common
TP20200814-DZC141_DT2009055469-1_bin.164,0.784313725,Tibetan antelope,Common
TP20200814-DZC141_DT2009055469-1_bin.232,0.992156863,Tibetan antelope,Common
TP20200814-DZC17_DT2009055345-1_bin.24,0.823529412,Tibetan antelope,Common
TP20200814-DZC24_DT2009055352-1_bin.59,1,Tibetan antelope,Common
TP20200814-DZC25_DT2009055353-1_bin.204,0.917647059,Tibetan antelope,Common
TP20200814-DZC27_DT2009055355-1_bin.254,0.874509804,Tibetan antelope,Common
TP20200814-DZC28_DT2009055356-1_bin.72,0.505882353,Tibetan antelope,Common
TP20200814-DZC34_DT2009055362-1_bin.57,0.807843137,Tibetan antelope,Common
TP20200814-DZC36_DT2009055364-1_bin.40,0.996078431,Tibetan antelope,Common
TP20200814-DZC37_DT2009055365-1_bin.242,0.811764706,Tibetan antelope,Common
TP20200814-DZC38_DT2009055366-1_bin.255,0.929411765,Tibetan antelope,Common
