Sample_ID,PCoA1,PCoA2,Host
T1900045075_TC20190069,0.1899566054148927,-0.11218156653104432,Tibetan_Cattle
T1900045076_TC20190070,0.18562085081243967,-0.12628722810709234,Tibetan_Cattle
T1900045077_TC20190071,0.17288669781407562,-0.06976852278800157,Tibetan_Cattle
T1900045078_TC20190072,0.2285126057867947,-0.17493661953446865,Tibetan_Cattle
T1900045079_TC20190073,0.18415693840859954,-0.11819826460987445,Tibetan_Cattle
T1900045080_TC20190074,0.14910642484053918,-0.16297471518237625,Tibetan_Cattle
T1900045081_TC20190075,0.19055755550690845,-0.11654290352580432,Tibetan_Cattle
T1900045082_TC20190076,0.13806333914038682,-0.09131236193013516,Tibetan_Cattle
T1900045083_TC20190077,0.18175084713837739,-0.11987903132636855,Tibetan_Cattle
T1900045084_TC20190078,0.20415255568314128,-0.11273496496012513,Tibetan_Cattle
T1900045085_TC20190079,0.21744227353245385,-0.12374538228147897,Tibetan_Cattle
T1900045086_TC20190080,0.13877723099081632,-0.07719324024711724,Tibetan_Cattle
T1900045087_TC20190081,0.1596348764283699,-0.14104418867583343,Tibetan_Cattle
T1900045088_TC20190082,0.13048478250068093,-0.06222309250769597,Tibetan_Cattle
T1900045089_TC20190083,0.13426735607764553,-0.08142758101030896,Tibetan_Cattle
T1900045090_TC20190084,0.1863559428526957,-0.06220175692120363,Tibetan_Cattle
T1900045091_TC20190085,0.1253775463687482,0.010551013899956154,Tibetan_Cattle
T1900045092_TC20190086,0.19132036593927196,-0.10806646178154505,Tibetan_Cattle
T1900045094_TC20190088,0.14421481228168628,-0.12393215779703165,Tibetan_Cattle
T1900045095_TC20190089,0.2378681978392832,-0.1263974092872485,Tibetan_Cattle
T1900045096_TC20190090,0.21728544488287022,-0.15437407586116508,Tibetan_Cattle
T1900045097_TC20190091,0.14111924331721706,-0.12269868516524271,Tibetan_Cattle
T1900045098_TC20190092,0.16737833874333005,-0.12282060686701213,Tibetan_Cattle
T1900045099_TC20190093,0.21793690809618196,-0.12351958791024169,Tibetan_Cattle
T1900045100_TC20190094,0.17991585570892835,-0.11570477876554701,Tibetan_Cattle
T1900045101_TC20190095,0.1283846605228445,-0.05784637482683399,Tibetan_Cattle
T1900045102_TC20190096,0.17875680587282378,-0.12970594181791611,Tibetan_Cattle
T1900045103_TC20190097,0.13767573307660885,-0.09463752767052644,Tibetan_Cattle
T1900045104_TC20190098,0.19500001201070533,-0.14988997967517287,Tibetan_Cattle
T1900045105_TC20190099,0.19407555040369714,-0.11927142663247021,Tibetan_Cattle
T1900045106_TC20190100,0.18026815902777682,-0.16168115292365476,Tibetan_Cattle
T1900045107_TC20190101,0.18544595067160116,-0.1310681023083794,Tibetan_Cattle
T1900045108_TC20190102,0.2166630670506495,-0.1386824417879289,Tibetan_Cattle
T1900045109_TC20190103,0.21746789984406378,-0.10592170253275067,Tibetan_Cattle
T1900045110_TC20190104,0.12366800021035672,-0.08684928140885266,Tibetan_Cattle
T1900045111_TC20190105,0.2188789134333812,-0.13524608271559738,Tibetan_Cattle
T1900045112_TC20190106,0.1330867770636957,-0.07559858748945116,Tibetan_Cattle
T1900045113_TC20190107,0.18961744387123627,-0.14374978815316658,Tibetan_Cattle
T1900045114_TC20190108,0.2418422009666775,-0.1805590333988554,Tibetan_Cattle
T1900045115_TC20190109,0.2583815066108863,-0.1461764857081493,Tibetan_Cattle
T1900045116_TC20190110,0.2185789679052838,-0.1399422711616332,Tibetan_Cattle
