SGB_ID,Event,Genus,Co-phylogeny_rate,Host-swap_rate
SGB_10520,Non-specific,g__RGIG4576,0.627906977,0.372093023
SGB_1315,Non-specific,g__HGM04593,0.66,0.34
SGB_4975,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_7960,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_4573,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_6742,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_6273,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_13869,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_13998,Non-specific,g__HGM04593,0.66,0.34
SGB_9905,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_13754,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_2433,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_12553,Non-specific,g__HGM04593,0.66,0.34
SGB_13019,Non-specific,g__RGIG2000,0.823529412,0.176470588
SGB_8327,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_8103,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_8823,Non-specific,g__Caccoplasma,0.894736842,0.105263158
SGB_5067,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_6435,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_13444,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_12896,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_8478,Non-specific,g__SIG5,0.64,0.36
SGB_13336,Non-specific,g__HGM04593,0.66,0.34
SGB_4765,Non-specific,g__Alloprevotella,0.757575758,0.242424242
SGB_13176,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_11412,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_4475,Non-specific,g__Onthomorpha,0.603448276,0.396551724
SGB_7232,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_11665,Non-specific,g__CAG-485,0.704545455,0.295454545
SGB_13669,Non-specific,g__HGM04593,0.66,0.34
SGB_13193,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_9047,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_10936,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_4516,Non-specific,g__Prevotella,0.703703704,0.296296296
SGB_9803,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_10400,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_13379,Non-specific,g__HGM04593,0.66,0.34
SGB_9707,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_8621,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_2871,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_6721,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_9556,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_11608,Non-specific,g__Alistipes,0.667484663,0.332515337
