Genus,Event,Co-phylogeny_rate,Host-swap_rate,SGB Name,More,Less,pNpS_ratio,Taxonomy
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_13686,0.006517691,0.986964618,0.077162395,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_13747,0.015364917,0.982074264,0.13902148,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017521945
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_13922,0.006203474,0.991315136,0.088951311,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017410165
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_14009,0.001988072,0.996023857,0.057843125,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_14010,0.0135318,0.98511502,0.133426573,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_1904,0.003115265,0.995327103,0.058837627,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017399485
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_2187,0.00554785,0.990291262,0.062823726,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015060015
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_2357,0.003210273,0.996789727,0.096246477,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015059905
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_2432,0.010075567,0.987405542,0.103678339,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_2898,0.00610998,0.99185336,0.10302487,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017536555
